word,AoA
display,6.0
displease,4.0
displeasure,6.0
disport,14.0
disposable,6.0
disposal,6.0
dispose,6.0
disposed,14.0
disposer,6.0
disposition,6.0
dispossess,14.0
dispraise,12.0
disproof,8.0
disproportion,6.0
disproportionate,10.0
disprove,10.0
disputable,8.0
disputant,13.0
disputation,12.0
dispute,6.0
disqualify,4.0
disquiet,12.0
disquietude,14.0
disquisition,13.0
disregard,6.0
disremember,2.0
disrepair,12.0
disreputable,10.0
disrepute,14.0
disrespect,6.0
disrespectful,6.0
disrobe,8.0
disrupt,8.0
disruption,8.0
dissatisfaction,4.0
dissatisfied,4.0
dissect,8.0
dissemble,14.0
disseminate,14.0
dissension,12.0
dissent,12.0
dissenter,12.0
dissertation,13.0
disservice,12.0
dissever,13.0
dissident,13.0
dissimilar,6.0
dissimilitude,12.0
dissimulation,14.0
dissipate,12.0
dissipated,12.0
dissipation,13.0
dissociate,8.0
dissoluble,12.0
dissolute,12.0
dissolution,13.0
dissolve,6.0
dissonance,12.0
dissonant,13.0
dissuade,10.0
dissuasion,12.0
dista,13.0
distaff,14.0
distal,13.0
distance,2.0
distant,4.0
distaste,10.0
distasteful,12.0
distemper,12.0
distend,14.0
distended,12.0
distension,12.0
distill,8.0
distillate,12.0
distillation,12.0
distillery,8.0
distinct,8.0
distinction,8.0
distinctive,13.0
distinctly,8.0
distingue,13.0
distinguish,8.0
distinguished,8.0
distort,10.0
distortion,10.0
distract,6.0
distracted,12.0
distraction,6.0
distrait,13.0
distraught,13.0
distress,6.0
distribute,6.0
distribution,6.0
distributive,12.0
distributor,8.0
district,6.0
distrust,4.0
distrustful,6.0
disturb,6.0
disturbance,6.0
disulfide,14.0
disunion,10.0
disunite,8.0
disuse,12.0
disyllable,12.0
ditch,4.0
dither,12.0
dithyramb,12.0
Ditto,8.0
ditto,10.0
ditty,10.0
diuresis,13.0
diuretic,12.0
diurnal,13.0
diva,12.0
divan,10.0
dive,2.0
diver,4.0
diverge,12.0
divergent,12.0
divers,14.0
diverse,8.0
diversify,10.0
diversion,12.0
diversity,10.0
divert,10.0
diverticulitis,12.0
divertimento,13.0
divertissement,13.0
divest,14.0
divide,2.0
dividend,6.0
divider,6.0
dividers,13.0
dividing,2.0
divination,14.0
divine,6.0
divinity,12.0
divisible,10.0
division,4.0
divisor,6.0
divorce,4.0
divorcee,6.0
divot,12.0
divulge,12.0
dizzily,12.0
dizziness,4.0
dizzy,2.0
DNA,12.0
do,2.0
dobbin,13.0
docile,14.0
docility,12.0
dock,2.0
docket,12.0
docking,8.0
dockyard,6.0
doctor,2.0
doctorate,12.0
doctrinaire,13.0
doctrine,10.0
docudrama,13.0
document,6.0
documentary,10.0
dodder,12.0
dodge,4.0
dodgeball,2.0
dodger,12.0
dodo,10.0
doe,6.0
doer,8.0
does,2.0
doeskin,4.0
doeth,10.0
doff,14.0
dog,2.0
dogdom,6.0
doge,13.0
dogfish,14.0
dogged,13.0
doggerel,13.0
doggoned,8.0
doggy,4.0
doghouse,6.0
dogie,6.0
dogleg,12.0
dogma,14.0
dogmatic,12.0
dogmatism,12.0
dogtrot,10.0
dogwood,6.0
doily,6.0
doing,2.0
doings,4.0
dolce,14.0
doldrums,12.0
dole,12.0
doleful,14.0
doll,2.0
dollar,2.0
dollop,14.0
dolly,2.0
dolman,14.0
dolomite,13.0
dolor,13.0
doloroso,12.0
dolorous,13.0
dolphin,10.0
dolt,14.0
domain,10.0
dome,6.0
domestic,8.0
domesticate,8.0
domesticity,12.0
domicile,14.0
dominant,10.0
dominate,10.0
domination,10.0
domineer,10.0
dominie,12.0
dominion,12.0
domino,6.0
dominoes,6.0
Dominus,12.0
don,8.0
donate,4.0
donation,6.0
donator,6.0
done,2.0
donkey,2.0
donna,13.0
donnybrook,13.0
donor,8.0
donut,2.0
doodad,8.0
doodle,8.0
doodlebug,12.0
doohickey,8.0
doolie,12.0
doom,8.0
doomsday,6.0
door,2.0
doorbell,2.0
doorkeeper,4.0
doorknob,2.0
doorman,2.0
doorplate,8.0
doorpost,8.0
doorstep,2.0
doorway,2.0
dooryard,13.0
dope,2.0
dopey,4.0
doppelganger,14.0
dorm,8.0
dormant,10.0
dormer,12.0
dormice,12.0
dormitory,6.0
dormouse,14.0
dorsal,12.0
dory,10.0
dosage,6.0
dose,6.0
dosimeter,14.0
dossier,14.0
dost,14.0
dot,2.0
dotage,13.0
dotard,13.0
dote,12.0
doth,8.0
doting,12.0
dotty,12.0
douane,13.0
douanier,13.0
double,2.0
doubles,4.0
doublet,13.0
doubletalk,6.0
doubleton,14.0
doubloon,10.0
doubly,6.0
doubt,4.0
doubtful,4.0
doubtless,6.0
douce,12.0
douche,10.0
dough,4.0
doughboy,12.0
doughhead,12.0
doughnut,4.0
doughty,14.0
doughy,8.0
dour,13.0
douse,8.0
doux,14.0
dove,4.0
dovecote,13.0
dovetail,14.0
dovetails,12.0
dowager,14.0
dowdy,13.0
dowel,12.0
dower,12.0
down,2.0
downbeat,12.0
downcast,8.0
downed,10.0
downfall,6.0
downgrade,12.0
downhearted,4.0
downhill,2.0
downpour,4.0
downright,8.0
downs,8.0
downspout,8.0
downstairs,4.0
downstream,4.0
downtown,4.0
downtrodden,12.0
downward,2.0
downwards,2.0
downwind,12.0
downy,10.0
dowry,12.0
doxology,13.0
doxy,13.0
doyen,12.0
doze,6.0
dozen,2.0
dozing,4.0
drab,8.0
drachma,12.0
draf,6.0
draft,4.0
draftee,6.0
draftsman,8.0
drafty,4.0
drag,2.0
dragging,2.0
draggle,12.0
dragline,6.0
dragnet,6.0
dragoman,13.0
dragon,2.0
dragonfly,4.0
dragoon,13.0
drain,2.0
drainage,4.0
drainer,6.0
drainpipe,4.0
drake,8.0
dram,13.0
drama,6.0
dramatic,6.0
dramatically,8.0
dramatics,6.0
dramatist,6.0
dramatization,6.0
dramatize,6.0
drank,2.0
drape,4.0
draper,12.0
draperies,6.0
drapery,10.0
drapes,4.0
drastic,10.0
draught,13.0
draw,2.0
drawback,8.0
drawbridge,4.0
drawer,2.0
drawers,12.0
drawing,2.0
drawl,8.0
drawn,12.0
draws,8.0
dray,14.0
drayman,12.0
dread,4.0
dreadful,6.0
dreadfully,12.0
dreadnought,14.0
dream,2.0
dreamboat,10.0
dreamer,12.0
dreamland,6.0
dreamt,6.0
dreamy,4.0
drear,12.0
dreary,10.0
dredge,10.0
dregs,14.0
drench,4.0
drenched,2.0
dress,2.0
dressage,13.0
dresser,6.0
dressing,2.0
dressmaking,2.0
dressy,2.0
drew,2.0
dribble,6.0
driblet,12.0
dried,4.0
drier,4.0
driest,4.0
drift,4.0
drifter,6.0
driftwood,6.0
drill,2.0
drillmaster,8.0
drink,2.0
drinkable,8.0
drinker,4.0
drinkin,10.0
drip,4.0
drippings,12.0
drive,2.0
drivel,13.0
driver,2.0
driveway,2.0
drizzle,4.0
drogue,13.0
droit,12.0
droll,13.0
drollery,12.0
dromedary,12.0
drone,8.0
drool,6.0
droop,6.0
drop,2.0
droplet,8.0
dropout,4.0
dropper,6.0
dropping,2.0
droppings,6.0
drops,6.0
dropsy,12.0
droshky,14.0
dross,14.0
drought,8.0
drouth,6.0
drove,2.0
drover,10.0
droves,12.0
drown,2.0
drowse,6.0
drowsier,4.0
drowsiness,6.0
drowsy,2.0
drub,12.0
drubbing,12.0
drudge,10.0
drudgery,10.0
drug,2.0
druggist,4.0
drugstore,2.0
drum,2.0
drumlin,14.0
drummer,2.0
drumstick,4.0
drumsticks,2.0
drunk,2.0
drunkard,4.0
drunken,2.0
drunkenness,4.0
drupe,14.0
dry,2.0
dryad,13.0
dryer,2.0
dryly,6.0
dryness,2.0
du,13.0
dual,8.0
dualism,12.0
dub,13.0
dubiety,14.0
dubious,10.0
dubitable,12.0
duc,12.0
ducal,13.0
ducats,13.0
duce,12.0
duchess,6.0
duchy,12.0
duck,2.0
duckbill,13.0
duckbumps,10.0
ducking,8.0
duckling,2.0
duckpins,12.0
ducks,12.0
duckweed,12.0
ducky,12.0
duct,8.0
ductile,12.0
ductless,10.0
dud,10.0
dude,8.0
dudgeon,12.0
duds,8.0
due,6.0
duel,4.0
duelist,8.0
duena,14.0
duenna,14.0
dues,4.0
duet,6.0
duff,13.0
duffel,8.0
duffer,12.0
dug,4.0
dugong,14.0
dugout,2.0
duke,6.0
dukedom,12.0
dukes,6.0
dulcet,14.0
dulcimer,12.0
dull,2.0
dullard,13.0
dullness,6.0
dulse,14.0
duly,13.0
dumb,4.0
dumbbell,4.0
dumbbells,6.0
dumbfound,12.0
dumbhead,6.0
dumbwaiter,13.0
dumdum,14.0
dummy,2.0
dump,2.0
dumpling,8.0
dumps,8.0
dumpster,10.0
dumpy,12.0
dun,12.0
dunce,6.0
dunderhead,6.0
dune,8.0
dung,12.0
dungaree,8.0
dungarees,6.0
dungeon,4.0
dunghill,13.0
dunk,6.0
duo,12.0
duodecimal,12.0
duodenum,14.0
dupe,10.0
duplex,8.0
duplicate,6.0
duplication,6.0
duplicator,6.0
duplicity,14.0
durability,12.0
durable,8.0
Duralumin,13.0
durance,14.0
duration,8.0
duress,13.0
during,2.0
durst,13.0
durum,12.0
dusk,4.0
duskiness,6.0
dusky,4.0
dust,2.0
duster,6.0
dustpan,2.0
dustproof,4.0
dusty,2.0
Dutch,8.0
duteous,10.0
dutiable,14.0
duties,8.0
dutiful,6.0
duty,4.0
duvetyn,12.0
dux,13.0
dwarf,6.0
dwarves,6.0
dwell,6.0
dweller,6.0
dwelling,6.0
dwelt,8.0
dwindle,10.0
dye,4.0
dyeing,4.0
dyer,8.0
dyestuff,8.0
dying,4.0
dyke,8.0
dynamic,12.0
dynamite,4.0
dynamo,8.0
dynamometer,12.0
dynasty,10.0
dyne,14.0
dysentery,13.0
dyslexia,12.0
dyspepsia,13.0
dystrophy,13.0
each,4.0
eager,2.0
eagerbeaver,8.0
eagerness,6.0
eagle,2.0
eaglet,6.0
ear,2.0
earache,2.0
eardrum,2.0
earl,8.0
earlaps,12.0
early,2.0
earmark,10.0
earmuffs,2.0
earn,2.0
earnest,6.0
earnings,4.0
earphone,6.0
earring,2.0
earshot,8.0
earth,2.0
earthen,8.0
earthenware,8.0
earthly,6.0
earthquake,2.0
earthward,8.0
earthwork,14.0
earthworm,2.0
earthy,8.0
earwig,14.0
ease,4.0
easel,4.0
easement,12.0
easier,4.0
easily,2.0
East,2.0
east,2.0
Easter,2.0
easterlies,12.0
easterly,6.0
eastern,2.0
eastward,2.0
easy,2.0
easygoing,8.0
eat,2.0
eatable,8.0
eaten,2.0
eatery,8.0
eating,2.0
eats,2.0
eau,12.0
eaves,10.0
eavesdrop,6.0
ebb,10.0
ebonite,14.0
ebony,10.0
ebullient,13.0
ebullition,13.0
eccentric,8.0
eccentricity,10.0
ecclesiastic,12.0
ecclesiastical,12.0
echelon,12.0
echidna,12.0
echo,2.0
echolalia,14.0
eclair,13.0
eclampsia,14.0
eclat,14.0
eclectic,13.0
eclipse,6.0
ecliptic,14.0
eclogue,14.0
ecocide,13.0
ecology,8.0
economic,8.0
economical,8.0
economics,6.0
economist,8.0
economize,6.0
economy,8.0
ecosystem,12.0
ecru,14.0
ecstasy,8.0
ecstatic,8.0
ectoderm,10.0
ectogenous,14.0
ectomorph,14.0
ecumenical,12.0
eczema,12.0
eddy,12.0
edelweiss,12.0
edema,14.0
edge,2.0
edger,12.0
edgeways,10.0
edgewise,10.0
edging,10.0
edgy,6.0
edible,8.0
edict,14.0
edification,14.0
edifice,13.0
edify,12.0
edit,10.0
edition,10.0
editor,6.0
editorial,8.0
educate,4.0
education,2.0
educational,6.0
educator,6.0
educe,14.0
eek,4.0
eel,2.0
eerie,13.0
efface,13.0
effect,8.0
effective,6.0
effects,12.0
effectual,12.0
effectuate,10.0
effeminate,13.0
efferent,14.0
effervesce,12.0
effervescent,12.0
effete,12.0
efficacious,13.0
efficacy,14.0
efficiency,8.0
efficient,8.0
effigy,12.0
efflorescent,14.0
effluent,12.0
effluvium,14.0
effort,4.0
effrontery,14.0
effulgence,14.0
effulgent,13.0
effusion,13.0
effusive,13.0
eft,12.0
egad,8.0
egalite,12.0
egest,14.0
egg,2.0
egghead,12.0
eggnog,4.0
eggplant,6.0
eggshell,2.0
eglantine,12.0
ego,12.0
egocentric,12.0
egoism,12.0
egotism,12.0
egotist,12.0
egotistic,12.0
egotistical,12.0
egregious,14.0
egress,14.0
egret,13.0
eider,10.0
eiderdown,14.0
eidetic,13.0
eight,2.0
eighteen,2.0
eighteenth,2.0
eighth,2.0
eighty,2.0
eisteddfod,13.0
either,4.0
ejaculate,12.0
eject,12.0
ejector,10.0
ekeout,12.0
el,12.0
elaborate,8.0
elaboration,12.0
elan,14.0
eland,14.0
elanvital,13.0
elapse,10.0
elastic,2.0
elasticity,8.0
elated,12.0
elation,12.0
elbow,2.0
elder,4.0
elderberry,8.0
elderly,6.0
elders,4.0
eldest,6.0
elect,4.0
election,2.0
electioneer,8.0
elective,8.0
elector,6.0
electoral,8.0
electorate,12.0
electric,2.0
electrical,4.0
electricfield,12.0
electrician,4.0
electricity,2.0
electrify,10.0
electrocardiogram,12.0
electrocute,6.0
electrocuted,4.0
electrode,10.0
electrolysis,10.0
electrolyte,14.0
electromagnet,4.0
electrometer,10.0
electron,6.0
electronic,12.0
electronics,12.0
electroplate,12.0
electroscope,14.0
electrostatics,12.0
electrotype,12.0
electrotyping,14.0
electto,4.0
eleemosynary,14.0
elegance,8.0
elegant,8.0
elegiac,13.0
elegy,14.0
element,6.0
elemental,8.0
elementary,4.0
elements,10.0
elephant,2.0
elephantiasis,10.0
elephantine,10.0
elevate,6.0
elevation,6.0
elevator,2.0
eleve,14.0
eleven,2.0
eleventh,2.0
elf,4.0
elfin,13.0
elfish,13.0
elicit,14.0
elide,14.0
eligibility,10.0
eligible,10.0
eliminate,6.0
elimination,8.0
elision,14.0
elite,12.0
elixir,13.0
elk,6.0
ell,13.0
ellipse,14.0
ellipsis,12.0
elliptic,14.0
elliptical,12.0
elm,2.0
elocution,13.0
elongate,10.0
elope,6.0
elopement,6.0
eloquence,10.0
eloquent,8.0
else,2.0
elsewhere,4.0
elucidate,13.0
elude,10.0
elusive,10.0
elves,2.0
Elysian,14.0
em,13.0
emaciated,14.0
emanate,14.0
emancipate,12.0
emancipation,12.0
emasculate,14.0
embalm,8.0
embankment,10.0
embargo,10.0
embark,12.0
embarrass,6.0
embarrassment,6.0
embassy,8.0
embattle,10.0
embattled,12.0
embed,10.0
embellish,14.0
ember,10.0
Ember,13.0
embezzle,8.0
embitter,10.0
embittered,10.0
emblazon,13.0
emblem,6.0
emblematic,12.0
embodiment,13.0
embody,12.0
embolden,13.0
embolism,13.0
embonpoint,14.0
emboss,12.0
embouchure,14.0
embrace,8.0
embrasure,13.0
embroider,8.0
embroidery,6.0
embroil,10.0
embryo,10.0
embryology,8.0
embryonic,12.0
emcee,10.0
emendation,12.0
emerald,6.0
emerge,10.0
emergence,12.0
emergency,4.0
emeritus,13.0
emery,12.0
emetic,14.0
emigrant,8.0
emigrate,6.0
emigration,8.0
emigre,12.0
eminence,12.0
eminent,12.0
emir,13.0
emissary,10.0
emission,13.0
emit,12.0
emollient,14.0
emolument,14.0
emote,12.0
emotion,8.0
emotional,8.0
emotions,6.0
emotive,12.0
empanel,12.0
empathy,12.0
emperor,6.0
emphasis,10.0
emphasize,8.0
emphatic,12.0
emphatically,10.0
emphysema,12.0
empire,4.0
empirical,14.0
empiricism,12.0
emplacement,14.0
employ,4.0
employee,4.0
employer,6.0
employment,6.0
emporium,13.0
empower,10.0
empress,10.0
emptiness,6.0
empty,2.0
empurpled,8.0
empyrean,13.0
emu,12.0
emulate,14.0
emulsify,12.0
emulsion,13.0
en,13.0
enable,8.0
enact,10.0
enactment,10.0
enamel,6.0
enamelware,8.0
enamored,13.0
encamp,13.0
encampment,13.0
encase,10.0
encaustic,12.0
enceinte,14.0
encephalitis,12.0
encephalogram,12.0
enchain,8.0
enchant,6.0
enchanted,6.0
enchantment,6.0
enchantress,8.0
enchilada,10.0
encircle,4.0
enclave,14.0
enclitic,12.0
enclose,4.0
enclosure,6.0
encomium,14.0
encompass,12.0
encore,10.0
encounter,8.0
encourage,4.0
encouragement,4.0
encouraging,4.0
encroach,12.0
encrust,10.0
encumber,12.0
encumbrance,12.0
encyclical,14.0
encyclopedia,2.0
encyst,12.0
end,2.0
endanger,6.0
endear,8.0
endearment,12.0
endeavor,8.0
endemic,13.0
ending,2.0
endive,14.0
endless,2.0
endlessbelt,10.0
endmost,12.0
endocarp,12.0
endocrine,12.0
endoderm,12.0
endogenous,12.0
endomorph,14.0
endorse,8.0
endorsee,12.0
endorsement,8.0
endorser,8.0
endosmosis,14.0
endosperm,14.0
endow,10.0
endowment,10.0
ends,6.0
endue,12.0
endurable,10.0
endurance,8.0
endure,8.0
enduring,8.0
endways,8.0
endwise,8.0
enema,12.0
enemy,2.0
energetic,6.0
energetically,6.0
energize,8.0
energy,4.0
enervate,14.0
enervated,14.0
enfant,12.0
enfeeble,12.0
enfilade,14.0
enfold,10.0
enforce,6.0
enforcement,8.0
enfranchise,14.0
engage,6.0
engaged,6.0
engagement,4.0
engaging,12.0
engender,14.0
engine,2.0
engineer,2.0
engineering,6.0
English,4.0
engorge,4.0
engraft,12.0
engrave,6.0
engraver,8.0
engraving,6.0
engross,12.0
engulf,8.0
enhance,13.0
enigma,14.0
enigmatic,13.0
enjoin,12.0
enjoy,2.0
enjoyable,4.0
enjoyment,4.0
enkindle,10.0
enlace,12.0
enlarge,2.0
enlargement,4.0
enlargeon,10.0
enlighten,10.0
enlist,6.0
enlistment,6.0
enliven,10.0
enmesh,13.0
enmity,12.0
ennoble,13.0
ennui,14.0
enormity,12.0
enormous,4.0
enough,2.0
enow,13.0
enquire,6.0
enrage,6.0
enrapture,10.0
enrich,6.0
enroll,6.0
enrollment,6.0
ensconce,14.0
ensemble,10.0
enshrine,10.0
enshroud,12.0
enshrouded,12.0
ensign,13.0
ensilage,14.0
enslave,6.0
ensnare,12.0
ensue,12.0
ensure,4.0
entablature,14.0
entail,12.0
entangle,6.0
entangled,8.0
entanglement,6.0
entelechy,12.0
entendre,12.0
entente,12.0
enter,2.0
enteric,12.0
enteritis,12.0
enterprise,10.0
enterprising,12.0
entertain,6.0
entertainer,4.0
entertainment,4.0
enthrall,12.0
enthrone,10.0
enthuse,6.0
enthusiasm,6.0
enthusiast,6.0
enthusiastic,6.0
enthusiastically,6.0
entice,10.0
entire,4.0
entirely,4.0
entirety,6.0
entitle,8.0
entity,14.0
entomb,8.0
entomologist,12.0
entomology,12.0
entourage,12.0
entrails,14.0
entrain,14.0
entrance,2.0
entranced,13.0
entrant,10.0
entrap,12.0
entre,14.0
entreat,12.0
entreaty,13.0
entrechat,14.0
entree,12.0
entrench,10.0
entrenchment,12.0
entrepot,12.0
entrepreneur,12.0
entropy,12.0
entrust,6.0
entry,6.0
entwine,10.0
entwist,10.0
enumerate,12.0
enunciate,10.0
enunciation,10.0
envelop,8.0
envelope,2.0
envenom,13.0
enviable,13.0
envious,8.0
environment,6.0
environs,12.0
envisage,13.0
envoi,14.0
envoy,13.0
envy,6.0
enwrap,10.0
enwreathe,10.0
enzyme,8.0
eon,13.0
epaulet,13.0
epaulette,12.0
epee,13.0
ephedrine,13.0
ephemeral,14.0
epic,10.0
epicarp,12.0
epicerie,14.0
epicure,12.0
epicurean,14.0
epidemic,6.0
epidermis,10.0
epigone,14.0
epigram,14.0
epigrammatic,12.0
epigraph,12.0
epilepsy,8.0
epinephrine,14.0
epiphany,13.0
episcopal,13.0
episcopate,13.0
episode,10.0
epistemology,13.0
epistle,14.0
epistolary,12.0
epitaph,12.0
epithelium,10.0
epithet,13.0
epitome,13.0
epitomize,12.0
epoch,14.0
epochal,12.0
eponym,13.0
epos,13.0
epoxy,12.0
epsilon,12.0
equable,13.0
equal,2.0
equality,6.0
equalize,6.0
equanimity,14.0
equate,12.0
equation,10.0
equator,4.0
equatorial,12.0
equestrian,14.0
equiangular,12.0
equidistant,10.0
equilateral,10.0
equilibrate,12.0
equilibrium,12.0
equine,14.0
equinoctial,12.0
equinox,13.0
equip,6.0
equipage,13.0
equipment,4.0
equipoise,12.0
equitable,12.0
equity,12.0
equivalent,8.0
equivocal,13.0
equivocate,13.0
era,8.0
eradicate,10.0
erase,4.0
eraser,4.0
erasure,8.0
ere,14.0
erect,6.0
erection,8.0
Erector,8.0
erector,12.0
erelong,12.0
erewhile,13.0
erg,14.0
ergo,13.0
ergot,12.0
eristic,14.0
erk,12.0
ermine,8.0
erode,8.0
eroica,14.0
erosion,8.0
erotic,14.0
err,10.0
errand,2.0
errant,12.0
errata,13.0
erratic,12.0
erratum,14.0
erroneous,12.0
error,6.0
ersatz,12.0
erstwhile,14.0
eructate,12.0
erudite,14.0
erudition,13.0
erupt,6.0
eruption,6.0
eruptive,10.0
erysipelas,12.0
escadrille,14.0
escalate,10.0
escalator,4.0
escallop,12.0
escapade,10.0
escape,2.0
escapement,12.0
escapes,6.0
escapism,12.0
escargots,14.0
escarole,13.0
escarpment,13.0
eschatology,14.0
escheat,14.0
eschew,14.0
escort,6.0
escritoire,13.0
escrow,12.0
escuela,14.0
escutcheon,13.0
Eskimo,2.0
esophagus,10.0
esoteric,14.0
Espanol,12.0
especial,6.0
especially,6.0
Esperanto,14.0
espial,12.0
espionage,10.0
esplanade,13.0
espousal,12.0
espouse,13.0
espresso,14.0
esprit,12.0
espy,14.0
esquire,8.0
essay,6.0
essayist,10.0
essence,10.0
essential,6.0
essentially,8.0
establish,6.0
establishment,6.0
estate,6.0
esteem,8.0
ester,13.0
esthete,12.0
esthetic,12.0
esthetics,12.0
estimable,13.0
estimate,6.0
estimation,6.0
estival,14.0
estivate,12.0
estop,12.0
estrange,13.0
estray,12.0
estrogen,13.0
estuary,13.0
eta,12.0
etat,12.0
etch,12.0
etching,12.0
eternal,6.0
eternity,6.0
ether,6.0
ethereal,14.0
ethical,12.0
ethics,10.0
ethnic,10.0
ethnology,14.0
ethyl,10.0
ethylene,13.0
etiology,13.0
etiquette,8.0
etoile,14.0
etude,14.0
etymology,13.0
etymon,14.0
eucalyptus,13.0
Eucharist,12.0
euchre,14.0
eugenics,12.0
eulogize,13.0
eulogy,14.0
eunuch,13.0
eupeptic,13.0
euphemism,14.0
euphonious,14.0
euphonium,12.0
euphony,13.0
euphoria,12.0
euphuism,12.0
Eurasia,6.0
eureka,12.0
eustachian,10.0
euthanasia,14.0
eutopia,14.0
evacuate,6.0
evacuation,10.0
evade,12.0
evaluate,8.0
evanescent,13.0
evangel,12.0
evangelical,12.0
evangelism,10.0
evangelist,10.0
evaporate,2.0
evaporation,6.0
evasion,12.0
evasive,10.0
eve,4.0
even,2.0
evening,2.0
evenly,6.0
evensong,13.0
event,6.0
eventful,8.0
eventide,14.0
eventual,8.0
eventuality,10.0
eventually,8.0
eventuate,12.0
ever,2.0
everglade,2.0
evergreen,4.0
everlasting,4.0
evermore,6.0
every,2.0
everybody,2.0
everyday,4.0
everyone,2.0
everything,2.0
everywhere,2.0
evict,10.0
eviction,10.0
evidence,6.0
evident,8.0
evidently,8.0
evil,2.0
evildoer,8.0
evince,14.0
eviscerate,12.0
evoke,14.0
evolution,10.0
evolve,12.0
ewe,6.0
ewer,13.0
ex,10.0
exacerbate,13.0
exact,4.0
exacting,14.0
exaction,13.0
exactitude,10.0
exactly,2.0
exactness,6.0
exaggerate,4.0
exaggeration,6.0
exalt,12.0
exaltation,13.0
exam,4.0
examination,4.0
examine,4.0
examinee,12.0
examiner,6.0
example,2.0
exasperate,10.0
exasperation,12.0
excavate,10.0
excavation,10.0
exceed,8.0
exceeding,8.0
exceedingly,8.0
excel,10.0
excellence,6.0
excellency,6.0
excellent,4.0
excelsior,14.0
except,2.0
excepting,13.0
exception,6.0
exceptionable,14.0
exceptional,6.0
excerpt,12.0
excess,8.0
excessive,8.0
exchange,4.0
exchequer,14.0
excise,10.0
excitable,4.0
excitation,6.0
excite,4.0
excited,4.0
excitement,4.0
exciting,4.0
excitingly,4.0
exclaim,6.0
exclamation,6.0
exclamatory,6.0
exclude,8.0
exclusion,10.0
exclusive,8.0
exclusively,10.0
exclusiveof,10.0
excommunicate,10.0
excommunication,12.0
excoriate,14.0
excrement,14.0
excrescence,13.0
excrete,12.0
excretion,12.0
excretory,10.0
excruciating,14.0
exculpate,14.0
excursion,8.0
excursive,12.0
excursus,14.0
excusable,6.0
excuse,4.0
exec,10.0
execrable,14.0
execrate,14.0
execration,13.0
execute,4.0
execution,4.0
executioner,8.0
executive,8.0
executor,12.0
executrix,13.0
exegesis,14.0
exegetic,14.0
exemplar,12.0
exemplary,13.0
exemplification,13.0
exemplify,10.0
exempt,10.0
exemption,10.0
exercise,4.0
exercised,12.0
exercycle,10.0
exert,8.0
exertforce,12.0
exertion,6.0
exeunt,12.0
exhalation,10.0
exhale,6.0
exhaust,6.0
exhausted,6.0
exhaustion,6.0
exhaustive,14.0
exhibit,4.0
exhibition,6.0
exhibitionism,12.0
exhibitor,6.0
exhilarate,13.0
exhort,14.0
exhortation,13.0
exhume,14.0
exigency,14.0
exigent,14.0
exiguous,14.0
exile,8.0
exist,6.0
existence,6.0
existent,8.0
existentialism,14.0
exists,12.0
exit,2.0
exobiology,13.0
exodus,12.0
exonerate,12.0
exorbitant,14.0
exorcise,13.0
exorcist,6.0
exordium,14.0
exosphere,12.0
exoteric,13.0
exotic,8.0
expand,6.0
expanse,8.0
expansion,6.0
expansive,10.0
expatiate,12.0
expatriate,12.0
expect,4.0
expectably,10.0
expectancy,8.0
expectant,6.0
expectation,6.0
expectorate,14.0
expedient,12.0
expedite,12.0
expedition,6.0
expeditious,13.0
expel,6.0
expend,10.0
expendable,12.0
expenditure,8.0
expense,4.0
expensive,4.0
experience,4.0
experienced,6.0
experiential,12.0
experiment,4.0
experimental,6.0
experimentation,8.0
expert,2.0
expertise,12.0
expiate,14.0
expiation,13.0
expiration,12.0
expire,6.0
explain,2.0
explanation,4.0
explanatory,6.0
expletive,12.0
explicable,10.0
explicate,13.0
explication,12.0
explicit,12.0
explode,4.0
exploit,10.0
exploitation,12.0
exploration,6.0
explore,2.0
explorer,2.0
explosion,4.0
explosive,2.0
exponent,10.0
export,6.0
exportation,8.0
exporter,6.0
exports,6.0
expose,6.0
exposed,6.0
exposition,10.0
expositor,12.0
expository,12.0
expostulate,13.0
exposure,8.0
expound,14.0
express,2.0
expressage,14.0
expression,4.0
expressionism,12.0
expressionless,8.0
expressive,6.0
expressly,12.0
expressway,2.0
expropriate,12.0
expulsion,14.0
expunge,13.0
expurgate,13.0
exquisite,8.0
extant,14.0
extemporaneous,12.0
extemporary,13.0
extempore,12.0
extemporize,12.0
extend,6.0
extensible,10.0
extension,6.0
extensive,8.0
extensor,14.0
extent,8.0
extenuate,14.0
extenuating,14.0
exterior,6.0
exterminate,8.0
external,8.0
extinct,8.0
extinction,8.0
extinguish,8.0
extinguisher,6.0
extirpate,13.0
extol,14.0
extort,13.0
extortion,12.0
extra,4.0
extract,8.0
extraction,10.0
extracurricular,10.0
extradite,14.0
extradition,13.0
extralegal,12.0
extraneous,13.0
extraordinary,6.0
extrapolate,12.0
extrasensory,13.0
extraterrestrial,12.0
extravagance,8.0
extravagant,8.0
extravaganza,12.0
extravert,12.0
extreme,6.0
extremely,6.0
extremes,12.0
extremist,12.0
extremities,12.0
extremity,10.0
extricate,14.0
extrinsic,12.0
extrovert,10.0
extrude,12.0
extrusion,12.0
exuberant,10.0
exudate,12.0
exude,14.0
exult,12.0
exultant,12.0
exultation,10.0
eye,2.0
eyeball,4.0
eyebrow,2.0
eyed,2.0
eyedropper,4.0
eyeful,8.0
eyeglass,2.0
eyeglasses,6.0
eyelash,2.0
eyeless,2.0
